“Symbol”,”Beta Day","Bull Day","Bear Day","Bull:Bear Day","Beta Month","Beta Bull Month","Beta Bear Month","Bull:Bear Month"
"MMM",0.852,0.86,0.809,1.063,0.908,1.237,0.721,1.716
"ABT",0.503,0.418,0.511,0.818,0.258,-0.3,0.428,-0.701
"ABBV",1.202,1.107,1.266,0.874,1.592,0.81,1.796,0.451
"ACN",0.814,0.786,0.802,0.98,0.905,0.787,0.825,0.954
"ACE",1.03,1.036,1.071,0.967,0.786,1.146,0.453,2.53
"ACT",1.293,1.298,1.443,0.9,0.836,2.783,-4.687,-0.594
"ADBE",1.135,1.131,1.084,1.043,1.581,1.499,1.492,1.005
"ADT",1.025,0.924,1.116,0.828,0.919,1.349,5.977,0.226
"AES",1.252,1.262,1.254,1.006,1.298,1.022,1.458,0.701
"AET",0.977,0.852,1.12,0.761,1.142,0.694,1.629,0.426
"AMG",1.663,1.549,1.777,0.872,1.919,1.661,2.243,0.741
"AFL",1.494,1.654,1.499,1.103,1.647,2.758,1.533,1.799
"A",1.197,1.097,1.149,0.955,1.441,1.869,1.258,1.486
"GAS",0.68,0.688,0.678,1.015,0.396,0.119,0.424,0.281
"APD",1.058,0.975,1.125,0.867,1.158,1.539,1.018,1.512
"ARG",1.068,1.02,1.156,0.882,1.103,0.97,1.115,0.87
"AKAM",1.297,1.298,1.23,1.055,0.993,0.332,0.211,1.573
"AA",1.591,1.576,1.72,0.916,1.906,1.556,2.511,0.62
"ALXN",0.887,0.785,0.8,0.981,0.626,0.336,0.413,0.814
"ALLE",0.967,0.991,0.967,1.025,0.6,1.708,-2.562,-0.667
"AGN",0.836,0.798,0.844,0.945,0.879,0.524,0.753,0.696
"ADS",1.045,1.082,1.064,1.017,1.486,1.559,1.474,1.058
"ALL",1.24,1.368,1.294,1.057,1.38,1.195,1.866,0.64
"ALTR",1.048,1.076,0.809,1.33,1.113,1.288,1.048,1.229
"MO",0.535,0.501,0.597,0.839,0.445,0.236,-0.057,-4.14
"AMZN",1.133,1.163,0.95,1.224,1.123,1.657,0.911,1.819
"AEE",0.748,0.795,0.764,1.041,0.586,0.327,0.959,0.341
"AEP",0.675,0.673,0.679,0.991,0.483,0.072,0.657,0.11
"AXP",1.494,1.605,1.547,1.037,1.715,2.681,1.567,1.711
"AIG",1.852,1.978,2.225,0.889,3.047,4.276,3.396,1.259
"AMT",0.98,0.977,0.965,1.012,0.667,0.361,0.687,0.525
"AMP",1.739,1.806,1.774,1.018,1.886,2.001,2.134,0.938
"ABC",0.624,0.629,0.605,1.04,0.699,0.636,0.742,0.857
"AME",1.046,1.018,0.995,1.023,1.029,1.021,1.277,0.8
"AMGN",0.701,0.682,0.663,1.029,0.539,0.763,0.237,3.219
"APC",1.402,1.376,1.477,0.932,1.368,2.017,1.454,1.387
"ADI",1.211,1.24,1.23,1.008,1.24,1.044,1.293,0.807
"AON",1.007,0.99,1.098,0.902,1.273,1.364,1.646,0.829
"APA",1.272,1.269,1.325,0.958,1.233,1.737,1.42,1.223
"AIV",1.679,1.887,1.771,1.065,1.749,1.107,2.536,0.437
"AAPL",0.994,1.01,0.973,1.038,1.203,1.334,0.897,1.487
"AMAT",1.102,1.005,1.006,0.999,1.312,1.666,0.678,2.457
"ADM",1.018,1.052,1.056,0.996,0.511,0.594,0.355,1.673
"AIZ",1.22,1.364,1.272,1.072,1.298,0.664,1.87,0.355
"T",0.774,0.869,0.763,1.139,0.576,0.19,0.579,0.328
"ADSK",1.248,1.186,1.179,1.006,2.038,2.268,2.004,1.132
"ADP",0.785,0.766,0.761,1.007,0.695,0.875,0.73,1.199
