“Symbol”,”Beta","Bull","Bear","Bull:Bear"
"MMM",1.035,1.102,1.074,1.026
"ABT",1.008,1.272,0.896,1.42
"ABBV",1.285,1.237,1.308,0.946
"ACN",1.023,1.056,1.063,0.993
"ACE",0.906,0.932,0.79,1.18
"ACT",1.293,1.298,1.443,0.9
"ADBE",1.227,1.449,1.133,1.279
"ADT",1.101,1.111,1.089,1.02
"AES",0.988,0.79,1.065,0.742
"AET",0.978,0.939,0.957,0.981
"AMG",1.541,1.376,1.592,0.864
"AFL",0.928,1.015,0.91,1.115
"A",1.246,1.373,1.043,1.316
"GAS",0.704,0.683,0.596,1.146
"APD",1.127,1.003,1.216,0.825
"ARG",0.896,0.768,0.88,0.873
"AKAM",1.391,1.448,1.403,1.032
"AA",1.337,1.505,1.334,1.128
"ALXN",1.795,1.774,1.595,1.112
"ALLE",0.967,0.991,0.967,1.025
"AGN",1.006,0.748,1.103,0.678
"ADS",1.257,1.424,1.118,1.274
"ALL",0.863,1.014,0.689,1.472
"ALTR",1.071,0.778,0.93,0.837
"MO",0.741,0.801,0.595,1.346
"AMZN",1.324,0.957,1.168,0.819
"AEE",0.692,0.859,0.548,1.568
"AEP",0.652,0.62,0.536,1.157
"AXP",1.139,1.119,1.327,0.843
"AIG",1.176,1.142,1.091,1.047
"AMP",1.499,1.44,1.673,0.861
"ABC",0.765,0.757,0.802,0.944
"APC",1.251,1.192,1.333,0.894
"ADI",1.197,1.177,1.379,0.854
"AON",1.046,1.084,1.166,0.93
"APA",1.106,1.364,0.87,1.568
"AIV",0.746,1.069,0.482,2.218
"AAPL",0.807,0.702,0.983,0.714
"AMAT",1.266,0.922,1.472,0.626
"ADM",0.96,0.845,0.991,0.853
"AIZ",0.948,0.96,1.128,0.851
"T",0.663,0.655,0.705,0.929
"ADSK",1.365,1.134,1.57,0.722
"ADP",1.009,0.984,1.139,0.864
"AN",1.273,1.229,1.368,0.898
"AZO",0.731,0.788,0.906,0.87
"AVGO",1.449,1.392,1.936,0.719
"AVB",0.614,0.892,0.389,2.293
"AVY",1.068,0.979,1.011,0.968
"AVP",1.314,0.925,1.231,0.751
"BHI",1.173,0.873,0.798,1.094
"BLL",0.898,1.03,0.726,1.419
"BAC",1.204,1.175,1.305,0.9
"BK",1.099,0.938,1.221,0.768
"BCR",0.895,0.893,0.747,1.195
"BAX",0.729,0.759,0.661,1.148
"BBT",0.961,0.988,0.977,1.011
"BDX",0.82,0.854,0.843,1.013
"BBBY",0.882,0.84,0.817,1.028
"BMS",0.744,0.794,0.611,1.3
"BRK-B",0.972,1.065,0.843,1.263
"BBY",1.377,0.903,1.155,0.782
